id,studyid,author,year,domain,context,n,x,y,z,data,coefnr,coef,se,xmin,xmax,ymin,ymax,xsd,ysd,interpretation,source,personal,direction,estimation,issue,depv,note,scoef,direction_val,issue_val,depv_val,personal_val,zscore,zscore_abs,scoefsize
1,1,Kumlin and Rothstein,2005,Welfare,Sweden,2543,Number of needs-tested institutional contacts,Interpersonal trust,0,Cross-sectional,1,-0.26,NA,0,2,0,10,NA,NA,Significant negative effect of needs-tested institutions (p<0.01),"Table 5, page 354",1,-1,OLS,2,1,NA,NA,Negative,Social,Political attitude,Personal,NA,NA,NA
2,1,Kumlin and Rothstein,2005,Welfare,Sweden,2543,Number of universal institutional contacts,Interpersonal trust,0,Cross-sectional,2,0.07,NA,0,8,0,10,NA,NA,Significant positive effect of universal institutions (p<0.01),"Table 5, page 354",1,1,OLS,2,1,NA,NA,Positive,Social,Political attitude,Personal,NA,NA,NA
3,1,Kumlin and Rothstein,2005,Health care,Sweden,2660,Perception of policy treatment,Interpersonal trust,0,Cross-sectional,3,0.31,NA,1,5,0,10,NA,NA,Significant positive effect of policy treatment perception (p<0.01),"Table 7, page 358",1,1,OLS,3,1,NA,NA,Positive,Health care,Political attitude,Personal,NA,NA,NA
4,1,Kumlin and Rothstein,2005,Child care,Sweden,580,Perception of policy treatment,Interpersonal trust,0,Cross-sectional,4,0.12,NA,1,5,0,10,NA,NA,No significant effect of policy treatment perception,"Table 7, page 358",1,0,OLS,0,1,NA,NA,None,Other,Political attitude,Personal,NA,NA,NA
5,1,Kumlin and Rothstein,2005,Transportation,Sweden,1875,Perception of policy treatment,Interpersonal trust,0,Cross-sectional,5,0.27,NA,1,5,0,10,NA,NA,Significant positive effect of policy treatment perception (p<0.01),"Table 7, page 358",1,1,OLS,0,1,NA,NA,Positive,Other,Political attitude,Personal,NA,NA,NA
6,1,Kumlin and Rothstein,2005,Social assistance,Sweden,175,Perception of policy treatment,Interpersonal trust,0,Cross-sectional,6,0.3,NA,1,5,0,10,NA,NA,Significant positive effect of policy treatment perception (p<0.01),"Table 7, page 358",1,1,OLS,2,1,NA,NA,Positive,Social,Political attitude,Personal,NA,NA,NA
7,1,Kumlin and Rothstein,2005,ALM,Sweden,634,Perception of policy treatment,Interpersonal trust,0,Cross-sectional,7,0.13,NA,1,5,0,10,NA,NA,Significant positive effect of policy treatment 8perception (p<0.10),"Table 7, page 358",1,1,OLS,2,1,NA,NA,Positive,Social,Political attitude,Personal,NA,NA,NA
8,1,Kumlin and Rothstein,2005,Housing allowance,Sweden,335,Perception of policy treatment,Interpersonal trust,0,Cross-sectional,8,-0.02,NA,1,5,0,10,NA,NA,No significant effect of policy treatment perception,"Table 7, page 358",1,0,OLS,2,1,NA,NA,None,Social,Political attitude,Personal,NA,NA,NA
9,2,Flavin and Hartney,2015,Education,Teachers in the U.S.,1133,Collective bargaining laws for teachers,Political participation index,1,Cross-sectional,1,0.347,0.137,0,1,0,5,0.497,0.953,Positive significant effect of mandatory collective bargaining laws on political participation,"Table 1, page 903",0,NA,Negative binomial,1,2,Not a formal interaction test,NA,NA,Education,Political engagement,General,2.532846715328467,2.532846715328467,NA
10,2,Flavin and Hartney,2015,Education,Nonteachers in the U.S.,28979,Collective bargaining laws for teachers,Political participation index,1,Cross-sectional,2,-0.004,0.023,0,1,0,5,0.497,0.953,No significant effect of mandatory collective bargaining laws on political participation,"Table 1, page 903",0,NA,Negative binomial,1,2,Not a formal interaction test,NA,NA,Education,Political engagement,General,-0.17391304347826086,0.17391304347826086,NA
11,2,Flavin and Hartney,2015,Education,Teachers in the U.S.,976,Collective bargaining laws for teachers,Contact: Democrats,0,Cross-sectional,3,0.144,0.235,0,1,0,1,0.497,0.372,No significant effect of mandatory collective bargaining laws on contact with Democrats,"Table 4, page 907",0,0,Probit,1,2,NA,0.19238709677419352,None,Education,Political engagement,General,0.6127659574468085,0.6127659574468085,0.19238709677419352
